#,Perso,serie,classe,URL image,Épique,Rare,Non-commun,Commun
1,Aang,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/822173605700960296/WST_Aang.png,un portrait d'Ozai en nouilles,un baton volant,des cacahuètes,une prestation de jonglage de billes
2,Sokka,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/821068770793095188/WST_Sokka.png,son épée en météorite,son boomerang,un verre de jus de cactus,une blague pas drôle
3,Katara,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/821069318388318248/WST_Katara.png,une fiole d'eau de l'Oasis aux Esprits,son collier,un parchemin de Maîtrise de l'Eau,un discours sur l'importance de l'espoir
4,Toph,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/821070099448463360/WST_Toph.png,une statue d'elle,son bracelet météorite,la prestigieuse ceinture du Tournoi de Jets de Pierre,une pastèque
5,Zuko,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/822080295913914418/WST_Zuko.png,son honneur,ses deux épées,un Agni Kai,un poster de recherche de l'Avatar
6,Suki,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/821122373801345044/WST_Suki.png,un dirigeable de la Nation du Feu,un éventail de combat,un kimono,du maquillage Kyoshi
7,Appa,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/821123331008364584/WST_Appa.png,un casque de Samouraï,une de ses empreintes,une léchouille bien baveuse,une touffe de poils
8,Momo,atla,high,https://cdn.discordapp.com/attachments/820978677172928574/821122368143097866/WST_Momo.png,un katana,un vautour-guêpe,un fruit à moitié croqué,"rien, c'est un lémurien"
9,Azula,atla,regular,https://cdn.discordapp.com/attachments/820978677172928574/821122410890920036/WST_Azula.png,Lo ou Li (elle ne sait plus qui est qui),une foreuse,un train blindé,des cendres (c'était sûrement un joli cadeau)
10,Iroh,atla,regular,https://cdn.discordapp.com/attachments/820978677172928574/821122362170277888/WST_Iroh.png,un conseil philosophique sur ta vie,une corne de Tsungi,une tuile de Pai Sho,une tasse de thé
